sample	sample_type.samples
TCGA-NH-A8F7-06A	Metastatic
TCGA-NH-A6GC-06A	Metastatic
TCGA-G4-6317-02A	Recurrent Tumor
TCGA-AZ-6599-11A	Solid Tissue Normal
TCGA-AA-3655-11A	Solid Tissue Normal
TCGA-AA-3525-11A	Solid Tissue Normal
TCGA-AZ-6603-11A	Solid Tissue Normal
TCGA-A6-2683-11A	Solid Tissue Normal
TCGA-AZ-6601-11A	Solid Tissue Normal
TCGA-AZ-6600-11A	Solid Tissue Normal
TCGA-A6-2671-11A	Solid Tissue Normal
TCGA-F4-6704-11A	Solid Tissue Normal
TCGA-AA-3511-11A	Solid Tissue Normal
TCGA-AZ-6598-11A	Solid Tissue Normal
TCGA-AA-3662-11A	Solid Tissue Normal
TCGA-A6-2682-11A	Solid Tissue Normal
TCGA-AA-3660-11A	Solid Tissue Normal
TCGA-AA-3712-11A	Solid Tissue Normal
TCGA-A6-2678-11A	Solid Tissue Normal
TCGA-AA-3489-11A	Solid Tissue Normal
TCGA-AA-3697-11A	Solid Tissue Normal
TCGA-AA-3713-11A	Solid Tissue Normal
TCGA-AA-3514-11A	Solid Tissue Normal
TCGA-A6-2685-11A	Solid Tissue Normal
TCGA-AA-3520-11A	Solid Tissue Normal
TCGA-A6-5667-11A	Solid Tissue Normal
TCGA-AA-3518-11A	Solid Tissue Normal
TCGA-A6-2684-11A	Solid Tissue Normal
TCGA-AA-3663-11A	Solid Tissue Normal
TCGA-A6-2686-11A	Solid Tissue Normal
TCGA-A6-2679-11A	Solid Tissue Normal
TCGA-AA-3534-11A	Solid Tissue Normal
TCGA-AA-3522-11A	Solid Tissue Normal
TCGA-AA-3527-11A	Solid Tissue Normal
TCGA-AA-3531-11A	Solid Tissue Normal
TCGA-A6-5662-11A	Solid Tissue Normal
TCGA-A6-5665-11A	Solid Tissue Normal
TCGA-AA-3516-11A	Solid Tissue Normal
TCGA-AA-3496-11A	Solid Tissue Normal
TCGA-A6-5659-11A	Solid Tissue Normal
TCGA-A6-2680-11A	Solid Tissue Normal
TCGA-AA-3517-11A	Solid Tissue Normal
TCGA-A6-2675-11A	Solid Tissue Normal
TCGA-AZ-6605-11A	Solid Tissue Normal
TCGA-A6-2672-11A	Solid Tissue Normal
TCGA-A6-2674-11A	Solid Tissue Normal
TCGA-A6-2676-11A	Solid Tissue Normal
TCGA-A6-2677-11A	Solid Tissue Normal
TCGA-A6-2681-11A	Solid Tissue Normal
TCGA-A6-3807-11A	Solid Tissue Normal
TCGA-A6-3808-11A	Solid Tissue Normal
TCGA-A6-3809-11A	Solid Tissue Normal
TCGA-A6-3810-11A	Solid Tissue Normal
TCGA-A6-4107-11A	Solid Tissue Normal
TCGA-A6-5657-11A	Solid Tissue Normal
TCGA-A6-5660-11A	Solid Tissue Normal
TCGA-A6-5661-11A	Solid Tissue Normal
TCGA-A6-5666-11A	Solid Tissue Normal
TCGA-AA-3488-11A	Solid Tissue Normal
TCGA-AA-3492-11A	Solid Tissue Normal
TCGA-AA-3494-11A	Solid Tissue Normal
TCGA-AA-3495-11A	Solid Tissue Normal
TCGA-AA-3502-11A	Solid Tissue Normal
TCGA-AA-3506-11A	Solid Tissue Normal
TCGA-AA-3509-11A	Solid Tissue Normal
TCGA-AA-3510-11A	Solid Tissue Normal
TCGA-AA-3519-11A	Solid Tissue Normal
TCGA-AA-3521-11A	Solid Tissue Normal
TCGA-AA-3524-11A	Solid Tissue Normal
TCGA-AA-3526-11A	Solid Tissue Normal
TCGA-AA-3529-11A	Solid Tissue Normal
TCGA-AA-3530-11A	Solid Tissue Normal
TCGA-AA-3532-11A	Solid Tissue Normal
TCGA-AA-A01P-11A	Solid Tissue Normal
TCGA-AA-A01R-11A	Solid Tissue Normal
TCGA-AA-A01S-11A	Solid Tissue Normal
TCGA-AA-A01T-11A	Solid Tissue Normal
TCGA-AA-A01V-11A	Solid Tissue Normal
TCGA-AA-A01X-11A	Solid Tissue Normal
TCGA-AA-A01Z-11A	Solid Tissue Normal
TCGA-AA-A022-11A	Solid Tissue Normal
TCGA-AA-A02O-11A	Solid Tissue Normal
TCGA-AA-A03F-11A	Solid Tissue Normal
TCGA-AA-A03J-11A	Solid Tissue Normal
TCGA-AZ-6606-11A	Solid Tissue Normal
TCGA-AZ-6607-11A	Solid Tissue Normal
TCGA-AZ-6608-11A	Solid Tissue Normal
