sample	cg01962233	cg10191725	cg21729122	cg18000886	cg14514403	cg16507965	cg08769559	cg18102233	cg17036062	cg16414561	cg25053900	cg13806616	cg25545920	cg22437699	cg12419462	cg03038395	cg03971469	cg02651788	cg08209743	cg16954455	cg06943593	cg22820312	cg25745795	cg02022247	cg16890879	cg15854666	cg11863130	cg19011478	cg12705969	cg10709771	cg23221557	cg23238793	cg18757172	cg24728008	cg03450733	cg14831665	cg05242815	cg02938958	cg04118889	cg24825446	cg02082650	cg11158236
TCGA-NH-A8F7-06A	0.604	0.8532	0.1093	0.03278	0.02653	0.04066	0.04309	0.02334	0.09778	0.03293	0.03832	0.1387	0.2808	0.284	0.1069	0.2784	0.02174	0.1305	0.03215	0.1037	0.03636	0.03567	0.4039	0.06054	0.03784	0.04945	0.1999	0.2769	0.509	0.6901	0.03519	0.2671	0.04467	0.1888	0.8467	0.06245	0.1464	0.02349	0.05649	0.2386	0.08848	0.2808
TCGA-NH-A6GC-06A																																										
TCGA-G4-6317-02A	0.496	0.8905	0.6005	0.8252	0.3098	0.455	0.3326	0.3855	0.3936	0.4398	0.3429	0.3967	0.4508	0.7101	0.5463	0.5241	0.351	0.5042	0.07685	0.5229	0.5026	0.4403	0.6996	0.2193	0.6328	0.4363	0.6613	0.4913	0.8319	0.4775	0.4209	0.5863	0.6227	0.545	0.8484	0.9799	0.5047	0.4321	0.3976	0.4954	0.3303	0.6496
TCGA-AZ-6599-11A	0.3939	0.3868	0.2377	0.09584	0.02783	0.02749	0.0333	0.02553	0.02014	0.05102	0.0625	0.171	0.4386	0.523	0.01694	0.04343	0.02369	0.03558	0.0389	0.06848	0.02232	0.07513	0.2779	0.07589	0.04679	0.074	0.1274	0.276	0.5959	0.2916	0.07125	0.2853	0.0651	0.1073	0.4075	0.0373	0.04146	0.02106	0.1234	0.1423	0.1469	0.3274
TCGA-AA-3655-11A	0.3931	0.4146	0.2579	0.1509	0.02565	0.02309	0.0439	0.02289		0.04514	0.1049	0.2571	0.482	0.5379	0.01622	0.06653	0.02015	0.03317	0.04743	0.08112	0.02373	0.04451	0.386	0.1183	0.05128	0.05959	0.2336	0.2455	0.4165	0.4772	0.1141	0.2188	0.0527	0.07854	0.3387	0.04388	0.02333	0.01576	0.0965	0.1077	0.3711	0.4127
TCGA-AA-3525-11A																																										
TCGA-AZ-6603-11A																																										
TCGA-A6-2683-11A																																										
TCGA-AZ-6601-11A	0.3919	0.3464	0.1505	0.2182	0.07363	0.02023	0.03951	0.03217	0.04253	0.06854	0.07874	0.2155	0.4668	0.4572	0.01447	0.05838	0.02453	0.03396	0.04164	0.04575	0.02862	0.1019	0.3017	0.1047	0.08672	0.1069	0.1411	0.203	0.4526	0.4244	0.07055	0.2931	0.06302	0.09192	0.3654	0.1365	0.0734	0.02092	0.07324	0.09169	0.2314	0.3603
TCGA-AZ-6600-11A	0.3854	0.3666	0.1567	0.1246	0.03528	0.02877	0.04427	0.0196	0.02074	0.05114	0.07473	0.1984	0.4171	0.5275	0.01583	0.09205	0.01966	0.03059	0.05179	0.04361	0.02174	0.07554	0.2932	0.06168	0.04562	0.08456	0.1793	0.2512	0.3498	0.3893	0.1221	0.3351	0.06169	0.0653	0.3949	0.05878	0.02457	0.02038	0.08212	0.1217	0.1731	0.3868
TCGA-A6-2671-11A	0.455	0.5363	0.2797	0.2578	0.05905	0.03023	0.04505	0.0366	0.04092	0.04596	0.06973	0.2129	0.4054	0.508	0.01986	0.05438	0.02724	0.03231	0.0373	0.06226	0.02736	0.04641	0.3384	0.1231	0.1441	0.09019	0.1887	0.3022	0.5003	0.4247	0.05532	0.361	0.08059	0.0654	0.3895	0.09184	0.06134	0.02418	0.1527	0.0973	0.1225	0.2989
TCGA-F4-6704-11A																																										
TCGA-AA-3511-11A																																										
TCGA-AZ-6598-11A	0.5007	0.6741	0.5052	0.4852	0.4207	0.3231	0.3263	0.3085	0.5667	0.4822	0.4514	0.448	0.5526	0.5447	0.4897	0.5622	0.1997	0.4566	0.1527	0.4858	0.4252	0.4081	0.5174	0.3839	0.558	0.3862	0.6799	0.4279	0.557	0.5387	0.4267	0.5065	0.5841	0.539	0.647	0.638	0.474	0.3603	0.4704	0.3546	0.5255	0.5718
TCGA-AA-3662-11A																																										
TCGA-A6-2682-11A	0.3334	0.4633	0.1827	0.2455	0.05308	0.03174	0.05201	0.02525	0.04074	0.04557	0.1082	0.2321	0.364	0.4659	0.01762	0.07353	0.02051	0.03984	0.05353	0.07739	0.02224	0.1056	0.2593	0.07241	0.09207	0.08089	0.1685	0.2327	0.551	0.3129	0.1008	0.4065	0.1082	0.07673	0.3451	0.1053	0.1074	0.03034	0.1265	0.09834	0.1191	0.3614
TCGA-AA-3660-11A	0.487	0.6502	0.4468	0.4336	0.3588	0.3294	0.293	0.2951	0.5542	0.4036	0.3916	0.4088	0.5002	0.5223	0.412	0.487	0.1369	0.4064	0.1724	0.4663	0.3975	0.3887	0.4948	0.2989	0.5226	0.3895	0.6307	0.4386	0.6967	0.5422	0.3947	0.4744	0.5094	0.4582	0.6006	0.5421	0.4321	0.3061	0.3954	0.349	0.5055	0.5693
